Stock Symbol,Company Name,DARS Rating,Ex-Div Date,Payout Frequency,Div Payout,Pay Date,Qualified Dividend,Stock Price,Yield,Sector,Industry,Record Date,Declare Date,ADR
TRTN-PR-C,Triton International Ltd - 7.375% PRF PERPETUAL USD 25 - Ser C,N/A,2020-03-06,Quarter,$0.4600,2020-03-16,Unknown,$26.15,6.99%,Uncategorized,Other,2020-03-09,2020-02-14,No
FBPRP,First Bancorp PR - 7.125% PFS PERPETUAL USD 25 - Ser A,N/A,2020-02-26,Monthly,$0.1484,2020-03-02,Unknown,$25.51,6.98%,Uncategorized,Other,2020-02-27,2019-12-19,No
COWNL,"Cowen Group, Inc.",N/A,2020-02-27,Quarter,$0.4844,2020-03-15,Non-Qualified,$27.80,6.96%,Uncategorized,Other,2020-03-01,N/A,No
UZB,United States Cellular Corporation,1.0,2020-02-27,Quarter,$0.4531,2020-03-01,Non-Qualified,$26.05,6.95%,Technology,Wireless Communications,2020-02-28,2019-10-28,No
SPKE,Spark Energy Inc,1.2,2020-02-28,Quarter,$0.1813,2020-03-16,Qualified,$10.08,6.94%,Utilities,Electric Utilities,2020-03-02,2020-01-21,No
UZC,United States Cellular Corporat,1.0,2020-02-27,Quarter,$0.4531,2020-03-01,Non-Qualified,$26.18,6.87%,Technology,Wireless Communications,2020-02-28,2019-10-28,No
IVR-PR-C,Invesco Mortgage Capital Inc Cumulative Redeemable Preferred Shares Series C,N/A,2020-03-04,Quarter,$0.4688,2020-03-27,Non-Qualified,$27.30,6.87%,Uncategorized,Other,2020-03-05,2020-02-18,No
IID,ING International High Dividend Equity Income Fund,N/A,2020-03-02,Monthly,$0.0300,2020-03-16,Unknown,$5.14,6.84%,Uncategorized,Other,2020-03-03,2020-02-18,No
CUBI-PR-C,Customers Bancorp Inc - FXDFR PRF PERPETUAL USD 25 - Ser C,N/A,2020-02-27,Quarter,$0.4375,2020-03-16,Qualified,$25.77,6.79%,Uncategorized,Other,2020-02-28,2020-02-13,No
AIC,Arlington Asset Investment Corp,N/A,2020-02-27,Quarter,$0.4219,2020-03-15,Non-Qualified,$24.93,6.76%,Uncategorized,Other,2020-02-29,2019-10-25,No
NLY-PR-F,Annaly Capital Management Inc 6.95% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,N/A,2020-02-28,Quarter,$0.4344,2020-03-31,Non-Qualified,$26.19,6.63%,Uncategorized,Other,2020-03-02,2020-02-14,No
BANC-PR-E,Banc of California Inc - 7% PRF PERPETUAL USD 25 - Ser E Repstg 1/40th,N/A,2020-02-27,Quarter,$0.4375,2020-03-16,Qualified,$26.45,6.62%,Uncategorized,Other,2020-02-28,2020-02-10,No
EPR,EPR Properties,2.2,2020-02-27,Monthly,$0.3750,2020-03-16,Non-Qualified,$67.46,6.60%,Financial,Real Estate Development,2020-02-28,2020-02-14,No
SPLP-PR-A,Steel Partners Holdings LP 6 % Cumulative Preferred Shares Series A,N/A,2020-02-27,Quarter,$0.3750,2020-03-15,Non-Qualified,N/A,6.58%,Uncategorized,Other,2020-03-01,2020-02-14,No
VER-PR-F,VEREIT Inc 6.70% Cumulative Redeemable Preferred Shares Series F,N/A,2020-02-27,Monthly,$0.1396,2020-03-16,Non-Qualified,$25.59,6.52%,Uncategorized,Other,2020-03-01,2019-11-05,No
APMSF,Aperam SA,N/A,2020-03-02,Quarter,$0.4375,2020-03-26,Unknown,$26.85,6.52%,Uncategorized,Other,2020-03-03,N/A,No
NLY-PR-I,Annaly Capital Management Inc - FXDFR PRF PERPETUAL USD 25 - Ser I,N/A,2020-02-28,Quarter,$0.4219,2020-03-31,Non-Qualified,$26.03,6.47%,Uncategorized,Other,2020-03-02,2020-02-14,No
FPF,First Trust Intrmdt Drtn Prfrd & Incm Fd,N/A,2020-03-02,Monthly,$0.1325,2020-03-16,Unknown,$24.47,6.45%,Uncategorized,Other,2020-03-03,2020-02-20,No
DCUE,Dominion Energy Inc - Units - 2019 Series A,N/A,2020-02-27,Quarter,$1.8125,2020-03-01,Non-Qualified,$112.74,6.43%,Uncategorized,Other,2020-02-28,2020-01-21,No
NLY-PR-G,Annaly Capital Management Inc 6.50% Series G Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,N/A,2020-02-28,Quarter,$0.4063,2020-03-31,Non-Qualified,$25.46,6.35%,Uncategorized,Other,2020-03-02,2020-02-14,No
KKR-PR-A,KKR & Co. L.P. 6.75% Series A Preferred Units,1.6,2020-02-27,Quarter,$0.4219,2020-03-16,Qualified,$26.66,6.32%,Financial,Diversified Investments,2020-03-01,2020-01-31,No
AGRIP,Agribank FCB - FXDFR PRF PERPETUAL USD - Ser A,N/A,2020-02-27,Quarter,$1.7188,2020-04-01,Qualified,$109.25,6.29%,Uncategorized,Other,2020-03-01,2020-01-22,No
KRO,Kronos Worldwide Inc,2.0,2020-03-02,Quarter,$0.1800,2020-03-12,Qualified,$11.16,6.28%,Basic Materials,Specialty Chemicals,2020-03-03,2020-02-19,No
CUBI-PR-D,"Customers Bancorp, Inc Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock, Series",N/A,2020-02-27,Quarter,$0.4063,2020-03-16,Qualified,N/A,6.23%,Uncategorized,Other,2020-02-28,2020-02-13,No
CTBB,Qwest Corporation 6.5% Notes due 2056,N/A,2020-02-27,Quarter,$0.4063,2020-03-02,Non-Qualified,$25.93,6.23%,Uncategorized,Other,2020-02-28,2019-10-25,No
TCBIP,"Texas Capital Bancshares, Inc. - Non Cumulative Preferred Perpetual Stock Series A",N/A,2020-02-28,Quarter,$0.4063,2020-03-16,Non-Qualified,$26.23,6.18%,Uncategorized,Other,2020-03-02,2020-01-28,No
WHG,Westwood Holdings,1.2,2020-03-05,Quarter,$0.4300,2020-04-01,Qualified,$26.99,6.17%,Financial,Asset Management,2020-03-06,2020-02-05,No
CUBI-PR-E,"Customers Bancorp, Inc Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock, Series",N/A,2020-02-27,Quarter,$0.4031,2020-03-16,Qualified,N/A,6.12%,Uncategorized,Other,2020-02-28,2020-02-13,No
BPYPP,Brookfield Property Partners L.P. - 6.50% PRF PERPETUAL USD 25 - Ser 1 Cls A,N/A,2020-02-28,Quarter,$0.4063,2020-03-31,Non-Qualified,$26.52,6.11%,Uncategorized,Other,2020-03-02,2020-02-04,No
TCBIL,Texas Capital BancShares Inc.,N/A,2020-03-05,Quarter,$0.4063,2020-03-23,Non-Qualified,$26.45,6.07%,Uncategorized,Other,2020-03-06,N/A,No
PBB,Prospect Capital Corporation 6.,N/A,2020-02-27,Quarter,$0.3906,2020-03-15,Non-Qualified,$25.77,6.05%,Uncategorized,Other,2020-02-28,2020-01-21,No
CTY,Qwest Corp. 6.125% Notes due 2053,N/A,2020-02-27,Quarter,$0.3828,2020-03-02,Non-Qualified,$25.30,6.04%,Uncategorized,Other,2020-02-28,2019-10-25,No
RF-PR-A,Regions Financial Corporation Depositary Shares Representing 1/40th Perpetual Preferred Series A,N/A,2020-02-28,Quarter,$0.3984,2020-03-16,Qualified,$26.44,6.03%,Uncategorized,Other,2020-03-02,2020-02-06,No
BPYPO,Brookfield Property Partners L.P. - 6.375% PRF PERPETUAL USD 25 - Cls A Ser 2,N/A,2020-02-28,Quarter,$0.3984,2020-03-31,Non-Qualified,$26.04,6.03%,Uncategorized,Other,2020-03-02,2020-02-04,No
BURCA,Burnham Holdings Inc - Ordinary Shares - Class A,N/A,2020-03-05,Quarter,$0.2200,2020-03-13,Non-Qualified,$14.65,6.01%,Uncategorized,Other,2020-03-06,2020-02-20,No
DNP,DNP Select Income Fund Inc,1.6,2020-02-27,Monthly,$0.0650,2020-03-10,Unknown,$12.92,5.98%,Financial,Closed End Fund Equity,2020-02-28,2019-12-19,No
PBY,Pep Boys,1.4,2020-02-27,Quarter,$0.3906,2020-03-15,Non-Qualified,$26.03,5.96%,Services,Auto Parts Stores,2020-02-28,2020-01-21,No
KKR-PR-B,KKR & Co. L.P. 6.50% Series B Preferred Unit,N/A,2020-02-27,Quarter,$0.4063,2020-03-16,Qualified,$27.10,5.95%,Uncategorized,Other,2020-03-01,2020-01-31,No
OAK-PR-A,Oaktree Capital Group LLC - 6.625% PRF PERPETUAL USD 25 - Ser A,N/A,2020-02-27,Quarter,$0.4141,2020-03-16,Unknown,$27.52,5.94%,Uncategorized,Other,2020-03-01,2020-01-30,No
APO-PR-A,Apollo Global Management LLC 6.375 % Non-cumulative Redeemable Preferred Shares Series A,N/A,2020-02-27,Quarter,$0.3984,2020-03-16,Qualified,$26.89,5.93%,Uncategorized,Other,2020-02-28,2020-01-30,No
OAK-PR-B,Oaktree Capital Group LLC - 6.55% PRF PERPETUAL USD 25 - Ser B,N/A,2020-02-27,Quarter,$0.4094,2020-03-16,Unknown,$27.51,5.91%,Uncategorized,Other,2020-03-01,2020-01-30,No
